CustomerName                                                                                         Sales_2013                              Sales_2014                              Sales_2015                              Sales_2016
Tailspin Toys (Kwethluk, AK)                                                                         68722.95                                126438.50                               52157.35                                18943.60
Tailspin Toys (La Cueva, NM)                                                                         67284.35                                67147.65                                81621.70                                56188.35
Tailspin Toys (Lake Erie Beach, NY)                                                                  101649.85                               114333.50                               59712.70                                40246.60
Tailspin Toys (Lake Hughes, CA)                                                                      51583.00                                47755.00                                105319.70                               31368.00
Tailspin Toys (Lake Stevens, WA)                                                                     85554.30                                71346.80                                91895.20                                31176.75
Tailspin Toys (Lakemore, OH)                                                                         82080.10                                47266.95                                67821.25                                24451.50
Tailspin Toys (Larose, LA)                                                                           58236.75                                82348.55                                104777.20                               30605.60
Tailspin Toys (Lavon, TX)                                                                            76911.10                                67704.05                                64129.95                                26086.55
Tailspin Toys (Lemeta, AK)                                                                           44966.50                                49956.85                                95969.65                                32433.00
Tailspin Toys (Lesslie, SC)                                                                          102776.65                               80992.50                                114009.50                               27461.30
Tailspin Toys (Long Meadow, MD)                                                                      77927.10                                113929.80                               127267.75                               41776.85
Tailspin Toys (Lytle Creek, CA)                                                                      53794.30                                113157.30                               82309.10                                17482.65
Tailspin Toys (Madaket, MA)                                                                          34283.30                                58414.15                                81085.60                                14897.40
Tailspin Toys (Madrone, NM)                                                                          67853.55                                103196.95                               66509.60                                35933.00
Tailspin Toys (Magalia, CA)                                                                          63265.70                                40138.00                                64415.80                                15458.20
Tailspin Toys (Malott, WA)                                                                           128558.05                               58736.30                                83125.15                                36726.85
Tailspin Toys (Manahawkin, NJ)                                                                       78780.90                                75587.55                                79047.85                                38316.35
Tailspin Toys (Manchester Center, VT)                                                                105072.85                               74539.40                                88166.70                                17101.70
Tailspin Toys (Maple Shade, NJ)                                                                      79619.95                                109919.20                               77311.60                                23082.20
Tailspin Toys (Mappsburg, VA)                                                                        106329.10                               82236.90                                58778.75                                15154.20
Tailspin Toys (Marcell, MN)                                                                          80941.50                                96488.65                                79378.20                                47051.80
Tailspin Toys (Maypearl, TX)                                                                         110845.80                               105176.00                               69436.15                                54263.95
Tailspin Toys (McCamey, TX)                                                                          62099.90                                74572.40                                112149.75                               49143.50
Tailspin Toys (McClave, CO)                                                                          86393.85                                66779.95                                106774.40                               32468.40
Tailspin Toys (Medicine Lodge, KS)                                                                   90672.65                                89968.35                                81560.85                                36926.00
Tailspin Toys (Mineral Hills, MI)                                                                    57382.70                                114910.20                               67518.15                                28213.05
Tailspin Toys (Minidoka, ID)                                                                         77657.15                                122021.05                               133443.40                               38700.70
Tailspin Toys (Mount Montgomery, NV)                                                                 68570.50                                85598.25                                70208.35                                18677.35
Tailspin Toys (Muir, MI)                                                                             73078.95                                43350.50                                54849.40                                53673.70
Tailspin Toys (Nanafalia, AL)                                                                        82312.30                                56511.75                                84098.00                                46784.20
Tailspin Toys (Naples Park, FL)                                                                      52629.45                                67112.80                                85940.35                                18291.00
Tailspin Toys (Navassa, NC)                                                                          92998.30                                97764.40                                92320.35                                16474.60
Tailspin Toys (Netcong, NJ)                                                                          34532.65                                129815.35                               95603.15                                23162.60
Tailspin Toys (New Baden, IL)                                                                        66249.15                                114391.00                               87348.55                                25453.55
Tailspin Toys (New Lexington, OH)                                                                    66293.20                                108641.05                               103662.00                               41147.00
Tailspin Toys (North Cowden, TX)                                                                     77909.60                                109761.15                               88700.50                                50813.55
Tailspin Toys (North Crows Nest, IN)                                                                 88078.90                                115347.55                               93019.20                                17553.85
Tailspin Toys (North Ridge, NY)                                                                      72177.90                                91897.50                                98594.95                                26258.40
Tailspin Toys (Olivette, MO)                                                                         50921.65                                73177.95                                85851.20                                21583.55
Tailspin Toys (Optimo, NM)                                                                           74117.70                                116259.05                               72028.30                                51441.45
Tailspin Toys (Orchard Hill, GA)                                                                     60912.95                                91503.50                                96473.95                                30899.90
Tailspin Toys (Oriole Beach, FL)                                                                     84088.75                                38629.70                                42287.80                                15995.90
Tailspin Toys (Orrtanna, PA)                                                                         79309.90                                75084.30                                86225.80                                66624.80
Tailspin Toys (Ortley Beach, NJ)                                                                     81382.25                                86678.10                                79292.65                                25527.80
Tailspin Toys (Page City, KS)                                                                        75868.30                                57586.50                                65689.50                                60163.05
Tailspin Toys (Panaca, NV)                                                                           47707.20                                38372.35                                119909.75                               35182.00
Tailspin Toys (Peeples Valley, AZ)                                                                   99545.65                                98600.80                                77649.70                                31664.90
Tailspin Toys (Placer, OR)                                                                           85083.90                                82028.25                                120779.55                               33584.40
Tailspin Toys (Point Roberts, WA)                                                                    69458.00                                84345.70                                92278.45                                32959.45
Tailspin Toys (Premont, TX)                                                                          47598.80                                81114.40                                98861.00                                16870.45
Tailspin Toys (Rafael Capó, PR)                                                                      94408.35                                61643.90                                61536.30                                49070.15
Tailspin Toys (Railroad, PA)                                                                         76985.85                                69338.80                                61580.40                                23539.85
Tailspin Toys (Rockwall, TX)                                                                         75008.30                                78033.25                                77287.20                                35064.90
Tailspin Toys (Roe Park, NY)                                                                         55012.90                                103933.45                               101536.05                               27569.30
Tailspin Toys (Rothsville, PA)                                                                       57708.45                                91589.80                                57557.70                                52157.65
Tailspin Toys (Royal City, WA)                                                                       62985.45                                55726.30                                72687.50                                44468.55
Tailspin Toys (Saint Louis Park, MN)                                                                 53764.50                                69979.55                                69327.25                                43644.50
Tailspin Toys (Saks, AL)                                                                             76370.45                                111222.85                               73948.80                                31947.75
Tailspin Toys (Sallyards, KS)                                                                        64268.00                                53620.30                                86439.25                                35849.60
Tailspin Toys (San Acacia, NM)                                                                       87116.25                                37805.20                                66009.40                                16581.65
Tailspin Toys (Sans Souci, SC)                                                                       84324.45                                66559.90                                101280.10                               26965.15
Tailspin Toys (Sauquoit, NY)                                                                         94635.85                                67978.35                                93364.10                                49877.05
Tailspin Toys (Scofield, UT)                                                                         51524.00                                125223.15                               64636.75                                39647.50
Tailspin Toys (Seagraves, TX)                                                                        62259.60                                85746.55                                81265.20                                25873.20
Tailspin Toys (Sekiu, WA)                                                                            87450.50                                101134.70                               90675.70                                35504.20
Tailspin Toys (Sentinel Butte, ND)                                                                   98534.50                                82943.10                                94942.85                                58549.55
Tailspin Toys (Severna Park, MD)                                                                     110945.60                               36217.50                                87978.80                                37284.85
Tailspin Toys (Sinclair, WY)                                                                         55464.70                                91109.20                                96443.40                                35221.00
Tailspin Toys (Skyway, WA)                                                                           63541.55                                75610.90                                76057.65                                29232.55
Tailspin Toys (Slanesville, WV)                                                                      87085.90                                83496.70                                78854.55                                39394.25
Tailspin Toys (South Euclid, OH)                                                                     51838.50                                51862.70                                86178.70                                46991.25
Tailspin Toys (South La Paloma, TX)                                                                  79337.65                                120597.65                               72277.70                                30650.60
Tailspin Toys (South Laguna, CA)                                                                     54930.60                                125237.10                               96527.50                                37957.50
Tailspin Toys (Stallion Springs, CA)                                                                 83216.20                                59292.40                                65005.10                                28031.15
Tailspin Toys (Statenville, GA)                                                                      74308.90                                51852.50                                112847.65                               29741.40
Tailspin Toys (Stonefort, IL)                                                                        77322.10                                67347.40                                46822.60                                26932.15
Tailspin Toys (Sun River, MT)                                                                        36494.40                                69489.90                                102407.10                               17508.80
Tailspin Toys (Sylvanite, MT)                                                                        43687.80                                76922.25                                85449.05                                23083.80
Tailspin Toys (Tavares, FL)                                                                          96706.50                                99645.50                                73183.75                                25027.65
Tailspin Toys (Terre du Lac, MO)                                                                     67638.40                                83232.75                                85594.85                                32918.00
Tailspin Toys (Teutopolis, IL)                                                                       51623.95                                133771.35                               64626.35                                29802.50
Tailspin Toys (Tierra Verde, FL)                                                                     75135.50                                96374.35                                78322.15                                45835.10
Tailspin Toys (Tolna, ND)                                                                            93131.25                                69985.65                                95679.25                                35962.95
Tailspin Toys (Tomnolen, MS)                                                                         52950.55                                85100.45                                71030.00                                12186.60
Tailspin Toys (Tooele, UT)                                                                           67289.95                                87699.90                                89093.20                                27258.20
Tailspin Toys (Topstone, CT)                                                                         78955.20                                47577.10                                63815.55                                54932.90
Tailspin Toys (Trentwood, WA)                                                                        76294.70                                73947.85                                81600.95                                39266.30
Tailspin Toys (Tresckow, PA)                                                                         92533.50                                60850.60                                62265.00                                21720.85
Tailspin Toys (Tumacacori, AZ)                                                                       102295.75                               90507.65                                58166.35                                30694.55
Tailspin Toys (Tunnelhill, PA)                                                                       87850.05                                59430.80                                56576.70                                21619.20
Tailspin Toys (Upper Preston, WA)                                                                    64646.85                                92475.95                                122295.15                               25749.90
Tailspin Toys (Valdese, NC)                                                                          73053.25                                93850.20                                110322.85                               14806.40
Tailspin Toys (Vassalboro, ME)                                                                       50905.60                                81160.35                                126930.15                               41697.70
Tailspin Toys (Victory Gardens, NJ)                                                                  120215.05                               67490.85                                72993.60                                56320.20
Tailspin Toys (Vidrine, LA)                                                                          98707.80                                87718.15                                89607.80                                64130.05
Tailspin Toys (Wallagrass, ME)                                                                       63897.50                                64443.25                                56515.90                                36779.00
Tailspin Toys (Wappingers Falls, NY)                                                                 74199.00                                84389.00                                79171.70                                48517.80
Tailspin Toys (Ward Ridge, FL)                                                                       70120.30                                51296.80                                81248.20                                12972.20
Tailspin Toys (Wilkes-Barre, PA)                                                                     70748.05                                49261.55                                80087.40                                29149.60
Tailspin Toys (Wimbledon, ND)                                                                        64062.80                                102495.75                               108327.85                               42240.05
Tailspin Toys (Windsor Locks, CT)                                                                    68445.35                                89547.40                                74915.60                                41291.25
Tailspin Toys (Yewed, OK)                                                                            57365.60                                77091.90                                88115.65                                17697.05
Taj Syme                                                                                             79471.30                                81165.15                                105214.65                               37868.00
Taneli Riutta                                                                                        62302.10                                133085.40                               56187.95                                28362.90
Tomo Vidovic                                                                                         0.00                                    0.00                                    70796.00                                38163.40
Tuulikki Linna                                                                                       0.00                                    77614.85                                79293.70                                39255.25
Urve Kasesalu                                                                                        43853.00                                56522.80                                54732.10                                47959.70
Valentin Tirlea                                                                                      86672.25                                111249.50                               95320.05                                24861.40
Valter Viiding                                                                                       154091.25                               81072.20                                52475.10                                33212.70
Vedrana Kovacevic                                                                                    71739.25                                51535.65                                99101.50                                29018.00
Veronika Necesana                                                                                    0.00                                    34032.10                                102695.50                               52752.35
Victoria Lacusta                                                                                     60707.80                                66657.95                                63922.30                                24269.25
Violetta KlanCisar                                                                                   78315.05                                70926.60                                74859.95                                25288.80
Vladimir Henzl                                                                                       37342.50                                40528.20                                88500.15                                40488.30
Volkan senturk                                                                                       55604.10                                79019.20                                75417.95                                68505.50
Wingtip Toys (Accomac, VA)                                                                           86426.10                                109867.35                               61476.75                                42794.80
Wingtip Toys (Akhiok, AK)                                                                            75200.95                                103047.00                               61261.00                                40422.95
Wingtip Toys (Alcester, SD)                                                                          89684.40                                98112.55                                61620.85                                14307.60
Wingtip Toys (Amado, AZ)                                                                             98889.95                                70009.85                                83812.85                                24016.40
Wingtip Toys (Asher, OK)                                                                             50788.40                                78438.10                                108063.25                               22210.75
Wingtip Toys (Athol Springs, NY)                                                                     109445.20                               96095.80                                54594.40                                16293.60
Wingtip Toys (Baldwin City, KS)                                                                      63012.85                                58404.95                                76819.45                                14376.30
Wingtip Toys (Balko, OK)                                                                             69434.45                                65941.35                                58877.40                                40158.45
Wingtip Toys (Beals, ME)                                                                             62448.10                                51551.90                                58921.05                                51008.95
Wingtip Toys (Beekmantown, NY)                                                                       69233.55                                30494.75                                106788.60                               44531.65
Wingtip Toys (Bell Acres, PA)                                                                        70134.40                                56654.60                                80811.55                                63619.00
Wingtip Toys (Bergen Park, CO)                                                                       90114.95                                97728.10                                74250.00                                24904.60
Wingtip Toys (Bernstein, TX)                                                                         83933.80                                90057.25                                108091.65                               17825.60
Wingtip Toys (Berville, MI)                                                                          82567.90                                57135.90                                79105.35                                33953.55
Wingtip Toys (Bethel Acres, OK)                                                                      73800.40                                119960.90                               23429.55                                67303.90
Wingtip Toys (Birds, IL)                                                                             119919.15                               74399.70                                45602.50                                53467.55
Wingtip Toys (Black Lick, PA)                                                                        93160.15                                57703.55                                104505.75                               18050.00
Wingtip Toys (Boalsburg, PA)                                                                         90323.15                                104028.60                               66062.90                                20051.60
Wingtip Toys (Bokeelia, FL)                                                                          105069.50                               59850.70                                140297.05                               23158.20
Wingtip Toys (Bonner Springs, KS)                                                                    64170.45                                90664.40                                113419.90                               34049.00
Wingtip Toys (Bourbonnais, IL)                                                                       62916.90                                108657.90                               98146.30                                38339.00
Wingtip Toys (Bourneville, OH)                                                                       84555.05                                87165.55                                89027.45                                71535.10
Wingtip Toys (Boynton, OK)                                                                           43601.05                                98924.25                                90730.00                                32517.90
Wingtip Toys (Bozeman Hot Springs, MT)                                                               61863.15                                53168.20                                120403.15                               18523.80
Wingtip Toys (Branson West, MO)                                                                      97630.35                                61870.10                                117458.25                               23356.90
Wingtip Toys (Broomtown, AL)                                                                         29727.75                                80820.45                                78808.10                                58928.70
Wingtip Toys (Bruceton Mills, WV)                                                                    81492.25                                111389.20                               78552.40                                29843.20
Wingtip Toys (Cache, OK)                                                                             63112.75                                66672.45                                93320.85                                51834.95
Wingtip Toys (Cadogan, PA)                                                                           58669.10                                68837.65                                117445.85                               41045.45
Wingtip Toys (Cale, AR)                                                                              53776.00                                75940.70                                75253.95                                73473.25
Wingtip Toys (Cape Neddick, ME)                                                                      74836.60                                55702.70                                32221.10                                32447.65
Wingtip Toys (Caro, MI)                                                                              98680.40                                61334.95                                48075.65                                41282.35
Wingtip Toys (Caton, NY)                                                                             83655.05                                62350.55                                65020.55                                21529.10
Wingtip Toys (Cavendish, VT)                                                                         51416.65                                98880.15                                102881.75                               25854.50
Wingtip Toys (Chaseley, ND)                                                                          67010.45                                59519.80                                62674.50                                15610.75
Wingtip Toys (Cherryplain, NY)                                                                       31346.90                                55943.40                                45843.55                                21421.60
Wingtip Toys (Chetek, WI)                                                                            55277.25                                66325.35                                81343.70                                26036.30
Wingtip Toys (Claycomo, MO)                                                                          41651.75                                60761.15                                109711.10                               25232.80
Wingtip Toys (Cloquet, MN)                                                                           66519.45                                76474.60                                94235.40                                33232.40
Wingtip Toys (Coin, IA)                                                                              70241.30                                92750.75                                85905.00                                43910.45
Wingtip Toys (Coker, AL)                                                                             69835.70                                74143.55                                92077.80                                25965.50
Wingtip Toys (Compass Lake, FL)                                                                      60267.50                                83178.95                                49648.45                                24122.85
Wingtip Toys (Connoquenessing, PA)                                                                   67470.75                                68532.70                                117555.95                               62100.90
Wingtip Toys (Corcovado, PR)                                                                         45036.95                                60832.95                                93244.60                                23522.70
Wingtip Toys (Cos Cob, CT)                                                                           39213.65                                94431.35                                76625.40                                46626.80
Wingtip Toys (Cowlington, OK)                                                                        94675.60                                86027.65                                69664.85                                18295.40
Wingtip Toys (Crossroads, NM)                                                                        62837.75                                90910.30                                38032.45                                36226.45
Wingtip Toys (Cuyamungue, NM)                                                                        57969.05                                142135.45                               92089.85                                60852.60
Wingtip Toys (Cylon, WI)                                                                             66150.80                                44504.90                                129770.95                               30786.60
Wingtip Toys (Dacono, CO)                                                                            63197.55                                69874.35                                87055.20                                28563.00
Wingtip Toys (Deeson, MS)                                                                            124736.55                               84412.45                                61849.50                                42277.70
Wingtip Toys (Del Valle, TX)                                                                         64805.60                                40937.10                                64845.55                                44011.90
Wingtip Toys (Delray, WV)                                                                            42999.35                                53669.75                                117333.30                               30097.20
Wingtip Toys (Dickerson, MD)                                                                         56807.95                                79454.85                                60714.20                                24562.75
Wingtip Toys (Dickworsham, TX)                                                                       79824.30                                55303.70                                58978.75                                31398.50
Wingtip Toys (Downingtown, PA)                                                                       47186.15                                129393.50                               69723.50                                31118.60
Wingtip Toys (Dunkerton, IA)                                                                         67875.60                                72161.20                                109927.70                               29015.70
Wingtip Toys (East Fultonham, OH)                                                                    80596.30                                88384.05                                70839.45                                22250.20
Wingtip Toys (East Mountain, TX)                                                                     47646.95                                65370.10                                69869.90                                45683.60
Wingtip Toys (Edmund, WI)                                                                            67437.40                                71325.20                                55136.05                                20670.10
Wingtip Toys (Elverson, PA)                                                                          51726.90                                94113.65                                74581.05                                39335.80
Wingtip Toys (Federalsburg, MD)                                                                      84161.00                                60033.20                                80082.25                                30160.20
Wingtip Toys (Ferney, SD)                                                                            42270.15                                54757.60                                107321.35                               31525.75
Wingtip Toys (Flomaton, AL)                                                                          75403.50                                69987.25                                62892.05                                44044.90
Wingtip Toys (Floriston, CA)                                                                         79991.15                                55283.10                                77139.65                                59599.10
Wingtip Toys (Frenchburg, KY)                                                                        60535.55                                106461.40                               83191.10                                14128.75
Wingtip Toys (Gargatha, VA)                                                                          58261.10                                84176.35                                70375.65                                45918.05
Wingtip Toys (Gilford, NH)                                                                           55171.90                                85074.00                                93712.05                                28648.45
Wingtip Toys (Glancy, MS)                                                                            68610.00                                61173.90                                61558.50                                28049.40
Wingtip Toys (Glen Ullin, ND)                                                                        45411.45                                72871.20                                109047.45                               34260.80
Wingtip Toys (Goodings Grove, IL)                                                                    59764.90                                98710.65                                44849.35                                28141.60
Wingtip Toys (Grabill, IN)                                                                           86425.45                                96705.80                                122214.20                               45793.20
Wingtip Toys (Griswoldville, GA)                                                                     42307.35                                105273.80                               102473.40                               30157.20
Wingtip Toys (Harkers Island, NC)                                                                    100151.60                               72572.55                                91943.60                                48413.30
Wingtip Toys (Haycock, AK)                                                                           95344.60                                128764.30                               84083.60                                20045.15
Wingtip Toys (Haydenville, OH)                                                                       86872.10                                47176.70                                103898.80                               24338.40
Wingtip Toys (Head Office)                                                                           69139.10                                108177.00                               81423.60                                22472.30
Wingtip Toys (Heartwell, NE)                                                                         62747.75                                40810.20                                63115.80                                31881.70
Wingtip Toys (Helotes, TX)                                                                           59588.25                                75949.45                                73420.10                                17413.50
Wingtip Toys (Herlong, CA)                                                                           85163.90                                114644.50                               47979.20                                21222.00
Wingtip Toys (Highland Home, AL)                                                                     109137.50                               83974.50                                73863.70                                14899.80
Wingtip Toys (Hollandsburg, IN)                                                                      56439.60                                84482.05                                72226.30                                44404.75
Wingtip Toys (Homer City, PA)                                                                        95428.65                                85998.10                                88118.25                                58981.40
Wingtip Toys (Huntingburg, IN)                                                                       65007.50                                55917.20                                93227.20                                37850.45
Wingtip Toys (Idaho City, ID)                                                                        67645.85                                100522.75                               100742.95                               26896.60
Wingtip Toys (Indian Creek, IL)                                                                      64286.55                                89690.65                                91044.50                                69972.00
Wingtip Toys (Isabela, PR)                                                                           74590.00                                105996.95                               93232.80                                20202.50
Wingtip Toys (Islip Terrace, NY)                                                                     96437.10                                95084.60                                64808.30                                56548.90
Wingtip Toys (Jamison, IA)                                                                           88742.20                                67964.05                                122777.40                               39690.85
Wingtip Toys (Jeromesville, OH)                                                                      61967.50                                37472.25                                50624.75                                58849.70
Wingtip Toys (Johnetta, KY)                                                                          83693.30                                72491.25                                88834.35                                20777.20
Wingtip Toys (Kapa'a, HI)                                                                            85696.55                                78229.45                                111504.05                               41427.80
Wingtip Toys (Karthaus, PA)                                                                          60330.10                                100791.70                               78979.55                                36653.25
Wingtip Toys (Keosauqua, IA)                                                                         67951.80                                84432.40                                66811.50                                46112.70
Wingtip Toys (Key Biscayne, FL)                                                                      110469.15                               63484.50                                123527.80                               37572.10
Wingtip Toys (Knights Landing, CA)                                                                   74158.10                                109883.00                               126601.75                               16774.35
Wingtip Toys (Lake Davis, CA)                                                                        68945.55                                102403.40                               95317.40                                38781.30
Wingtip Toys (Lake Ronkonkoma, NY)                                                                   135744.40                               46458.15                                96046.95                                31922.70
Wingtip Toys (Leathersville, GA)                                                                     107662.50                               46664.60                                83937.15                                77546.30
Wingtip Toys (Lexington Heights, MI)                                                                 76140.50                                82511.60                                61808.40                                33663.00
Wingtip Toys (Liberty Grove, MD)                                                                     62910.25                                70452.95                                66871.15                                39186.95
Wingtip Toys (Licking, MO)                                                                           77648.45                                39159.90                                130721.60                               21392.60
Wingtip Toys (Lilbourn, MO)                                                                          92520.35                                60715.00                                107824.05                               52034.20
Wingtip Toys (Lime Lake, NY)                                                                         116176.95                               64927.00                                100209.60                               27612.25
Wingtip Toys (Lost River, ID)                                                                        86054.55                                75987.20                                105793.45                               34540.60
Wingtip Toys (Lostine, OR)                                                                           77869.75                                44106.80                                61075.40                                30094.75
Wingtip Toys (Lowellville, OH)                                                                       60924.10                                76454.95                                72123.85                                27209.80
Wingtip Toys (Lucasville, OH)                                                                        40191.15                                83835.30                                61070.05                                47465.95
Wingtip Toys (Lynne, FL)                                                                             108152.25                               79290.40                                91140.10                                49950.10
Wingtip Toys (Lytle, TX)                                                                             70534.45                                71672.60                                89866.40                                47992.90
Wingtip Toys (Mahaffey, PA)                                                                          79699.80                                104836.55                               85293.95                                23641.35
Wingtip Toys (Marfa, TX)                                                                             84161.25                                80555.00                                88124.60                                12266.80
Wingtip Toys (Marin City, CA)                                                                        35152.50                                61250.05                                45554.00                                27975.05
Wingtip Toys (Marion Junction, AL)                                                                   61797.15                                70011.65                                66235.90                                62900.15
Wingtip Toys (Mauldin, SC)                                                                           63511.10                                48434.20                                103060.55                               29936.90
Wingtip Toys (Mayhill, NM)                                                                           74347.90                                94044.90                                72371.60                                54595.75
Wingtip Toys (McAdenville, NC)                                                                       69757.75                                66750.35                                55836.35                                32577.40
Wingtip Toys (Mendoza, TX)                                                                           67100.55                                75802.10                                94165.70                                38811.60
Wingtip Toys (Mickleton, NJ)                                                                         88443.20                                114643.60                               104083.20                               25345.15
Wingtip Toys (Mier, IN)                                                                              81382.60                                60028.95                                114883.65                               40168.85
Wingtip Toys (Miesville, MN)                                                                         61885.85                                81222.50                                34849.25                                27354.95
Wingtip Toys (Molalla, OR)                                                                           49871.30                                85025.50                                73201.35                                40177.05
Wingtip Toys (Montoya, NM)                                                                           99143.35                                48501.00                                142624.95                               27266.50
Wingtip Toys (Mooringsport, LA)                                                                      74211.60                                108038.35                               64085.65                                41326.50
Wingtip Toys (Morita, TX)                                                                            61334.85                                65584.15                                74031.85                                12455.55
Wingtip Toys (Morrison Bluff, AR)                                                                    84060.75                                102874.25                               123474.40                               41877.80
Wingtip Toys (Morton Grove, IL)                                                                      55884.45                                67099.15                                58086.50                                8947.20
Wingtip Toys (Mount Summit, IN)                                                                      56779.75                                43812.40                                72397.55                                30356.60
Wingtip Toys (Munich, ND)                                                                            66158.20                                93756.60                                35708.00                                19623.10
Wingtip Toys (Naches, WA)                                                                            63763.55                                75462.45                                82732.10                                18073.60
Wingtip Toys (Necedah, WI)                                                                           40787.80                                91687.60                                98711.05                                42516.60
Wingtip Toys (New Laguna, NM)                                                                        68366.05                                61348.55                                53300.05                                18349.80
Wingtip Toys (Nichols Hills, OK)                                                                     84215.80                                84059.10                                98139.95                                17805.65
Wingtip Toys (North Beach Haven, NJ)                                                                 66030.00                                85870.85                                82528.80                                83763.70
Wingtip Toys (North Manitou, MI)                                                                     76299.35                                42893.80                                75217.25                                27997.30
Wingtip Toys (Nuangola, PA)                                                                          32746.75                                49001.40                                78652.60                                25306.25
Wingtip Toys (Oak Point, TX)                                                                         118077.55                               123685.05                               68607.10                                16883.85
Wingtip Toys (Obetz, OH)                                                                             50018.75                                63199.85                                86032.60                                85609.10
Wingtip Toys (Obion, TN)                                                                             64698.45                                97158.65                                81406.20                                10605.15
Wingtip Toys (Omer, MI)                                                                              85317.00                                94570.05                                88029.50                                50508.40
Wingtip Toys (Oologah, OK)                                                                           107134.55                               79024.30                                55708.05                                26894.40
Wingtip Toys (Orick, CA)                                                                             62340.35                                65460.10                                74073.90                                38790.05
Wingtip Toys (Ovilla, TX)                                                                            68920.65                                47355.00                                53146.80                                30019.35
Wingtip Toys (Palmas del Mar, PR)                                                                    63413.65                                84855.50                                58546.30                                31865.35
Wingtip Toys (Paw Paw Lake, MI)                                                                      65008.05                                105703.20                               86209.40                                26144.00
Wingtip Toys (Pawlet, VT)                                                                            84368.80                                51326.75                                67701.30                                37412.25
Wingtip Toys (Penns Creek, PA)                                                                       51639.35                                89397.10                                65725.20                                16197.75
Wingtip Toys (Philip, SD)                                                                            76975.10                                72390.05                                84778.60                                27400.40
Wingtip Toys (Pikeview, CO)                                                                          60256.90                                114737.80                               101763.95                               23974.40
Wingtip Toys (Plaquemine, LA)                                                                        73396.65                                89669.20                                105603.60                               48150.30
Wingtip Toys (Plata, TX)                                                                             84045.05                                128815.30                               66917.15                                12229.00
Wingtip Toys (Plum Branch, SC)                                                                       94065.20                                86977.35                                79268.90                                33482.05
Wingtip Toys (Port Hueneme, CA)                                                                      74841.60                                62312.60                                105408.65                               53230.40
Wingtip Toys (Portales, NM)                                                                          93345.35                                42724.25                                30592.60                                30652.25
Wingtip Toys (Queen Valley, AZ)                                                                      88517.30                                84137.75                                88445.50                                46432.10
Wingtip Toys (Raton, NM)                                                                             73080.20                                69553.55                                80070.95                                30257.20
Wingtip Toys (Rich Creek, VA)                                                                        91606.95                                68141.85                                91394.45                                66573.20
Wingtip Toys (Ridgemark, CA)                                                                         80814.95                                68798.85                                81662.35                                33201.80
Wingtip Toys (Robertsdale, AL)                                                                       92290.05                                61505.65                                72294.05                                39210.80
Wingtip Toys (Rockwall, TX)                                                                          95163.10                                70526.40                                48430.75                                27419.20
Wingtip Toys (Rosa Sánchez, PR)                                                                      65890.90                                61648.15                                104961.20                               56366.10
Wingtip Toys (Rose Tree, PA)                                                                         84352.85                                87520.90                                66066.90                                43634.90
Wingtip Toys (Ruthsburg, MD)                                                                         63559.05                                65480.05                                113306.55                               39368.35
Wingtip Toys (Saint Landry, LA)                                                                      75552.65                                76506.90                                60166.80                                7987.00
Wingtip Toys (Salt Wells, NV)                                                                        64917.15                                96362.35                                94352.95                                29913.80
Wingtip Toys (San Jacinto, CA)                                                                       78579.75                                155333.10                               75791.05                                45589.45
Wingtip Toys (Sarversville, PA)                                                                      135173.65                               89562.90                                108133.35                               32557.10
Wingtip Toys (Sayner, WI)                                                                            114098.80                               63829.75                                100461.85                               42458.40
Wingtip Toys (Schererville, IN)                                                                      75693.90                                104768.90                               107611.90                               24403.35
Wingtip Toys (Shay, PA)                                                                              71743.55                                70061.20                                81517.65                                31514.25
Wingtip Toys (Silver Plume, CO)                                                                      84666.40                                70516.80                                82728.80                                46904.50
Wingtip Toys (Smoot, WY)                                                                             68128.40                                85590.35                                64893.40                                17774.70
Wingtip Toys (Stanardsville, VA)                                                                     86756.65                                94561.65                                38074.30                                16604.60
Wingtip Toys (Stoneboro, PA)                                                                         76244.80                                105297.70                               125962.55                               24481.45
Wingtip Toys (Straughn, IN)                                                                          61052.15                                62408.60                                78633.25                                26669.45
Wingtip Toys (Sunburg, MN)                                                                           62076.55                                79987.75                                81900.85                                43142.90
Wingtip Toys (Taft Heights, CA)                                                                      113644.90                               72876.05                                86023.90                                25675.10
Wingtip Toys (Tea, SD)                                                                               84390.30                                70871.90                                105352.80                               45255.05
Wingtip Toys (Teutopolis, IL)                                                                        58449.00                                83903.95                                104416.85                               29579.20
Wingtip Toys (Tilleda, WI)                                                                           67816.60                                59534.50                                112010.25                               40687.80
Wingtip Toys (Towaco, NJ)                                                                            63964.10                                115965.00                               65804.60                                13270.15
Wingtip Toys (Triadelphia, WV)                                                                       72544.45                                72650.40                                86679.85                                30760.15
Wingtip Toys (Trout Run, PA)                                                                         75805.70                                100441.25                               101397.50                               20094.20
Wingtip Toys (Trumansburg, NY)                                                                       76017.05                                78332.20                                62603.05                                44667.25
Wingtip Toys (Truscott, TX)                                                                          85776.75                                113196.95                               110160.90                               19106.60
Wingtip Toys (Tuscaloosa, AL)                                                                        111480.25                               73343.40                                88969.70                                33853.80
Wingtip Toys (Universal City, TX)                                                                    42464.60                                108467.85                               67961.05                                14536.70
Wingtip Toys (Vair, TX)                                                                              61767.60                                63468.75                                95999.35                                14532.20
Wingtip Toys (Valhalla, NC)                                                                          73253.20                                83870.80                                59832.20                                18366.05
