CustomerName                                                                                         Sales_2014M1                            Sales_2014M2                            Sales_2014M3                            Sales_2014M4                            Sales_2014M5                            Sales_2014M6                            Sales_2014M7                            Sales_2014M8                            Sales_2014M9                            Sales_2014M10                           Sales_2014M11                           Sales_2014M12
Dipti Shah                                                                                           0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    1626.40                                 1463.00                                 6236.00                                 1586.40                                 12870.00
Dominic Davignon                                                                                     5135.50                                 3582.50                                 4151.00                                 1184.00                                 6204.00                                 612.40                                  8577.30                                 9340.80                                 4749.00                                 16585.00                                3018.00                                 8109.00
Drazenka Jelic                                                                                       2413.00                                 8145.00                                 2384.00                                 4461.60                                 4873.20                                 6510.00                                 6562.60                                 6332.00                                 0.00                                    0.00                                    12200.40                                228.00
Drishti Bose                                                                                         3495.00                                 6588.85                                 573.00                                  2950.00                                 9191.00                                 7377.25                                 16144.90                                269.00                                  3656.60                                 0.00                                    460.00                                  1992.90
Durdanah Abbasi                                                                                      7198.00                                 0.00                                    0.00                                    5511.40                                 16298.40                                26724.55                                5435.75                                 1369.00                                 1708.80                                 27430.00                                0.00                                    2939.00
Ebru Erdogan                                                                                         0.00                                    2432.00                                 2186.00                                 2650.00                                 984.00                                  1071.50                                 4511.40                                 3408.20                                 4328.20                                 22790.20                                4450.00                                 4031.00
Edgar Jogi                                                                                           2598.60                                 13726.50                                2716.00                                 3458.00                                 1256.05                                 24522.70                                13872.50                                8887.75                                 5770.00                                 5272.00                                 6920.35                                 10761.00
Edmee Glissen                                                                                        5282.50                                 8237.00                                 6018.00                                 2411.00                                 26927.40                                1676.00                                 3106.00                                 6514.00                                 13502.20                                5330.60                                 8133.80                                 2459.60
Elina Kaleja                                                                                         6302.60                                 7498.40                                 9971.80                                 5704.00                                 15588.00                                1296.00                                 13333.00                                4515.00                                 5987.00                                 8812.00                                 1308.00                                 6979.20
Eliza Persson                                                                                        8671.85                                 1389.50                                 3792.00                                 4205.60                                 3962.20                                 458.00                                  0.00                                    4448.00                                 740.00                                  3694.90                                 0.00                                    5212.35
Emil Roman                                                                                           3712.00                                 6470.40                                 0.00                                    18777.50                                2524.00                                 344.40                                  5510.00                                 1389.00                                 1894.00                                 0.00                                    3301.00                                 1001.20
Emilie Hrdlickova                                                                                    0.00                                    0.00                                    1920.00                                 5813.00                                 1314.80                                 0.00                                    8038.80                                 6083.20                                 8399.00                                 3185.00                                 3149.40                                 359.00
Emily Whittle                                                                                        11819.00                                420.00                                  10609.50                                13264.00                                0.00                                    4774.60                                 15652.75                                2639.00                                 6452.85                                 12682.00                                4523.00                                 10046.20
Emma Salpa                                                                                           0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Emma Van Zant                                                                                        0.00                                    0.00                                    0.00                                    0.00                                    5767.00                                 2506.00                                 1237.60                                 7561.20                                 3116.30                                 13170.75                                1008.50                                 1472.00
Eric Torres                                                                                          5195.20                                 2256.00                                 15843.25                                4799.00                                 1266.00                                 10158.00                                746.05                                  13068.15                                1334.40                                 2760.00                                 6531.00                                 6207.70
Erik Malk                                                                                            0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    1270.00                                 9215.20
Eugen Agafitei                                                                                       3519.00                                 5110.00                                 6686.20                                 9863.00                                 6688.40                                 8312.00                                 16210.50                                4686.40                                 2491.90                                 11661.05                                48490.00                                4894.80
Eva Schulteisz                                                                                       6729.00                                 9294.40                                 4741.20                                 8861.80                                 3387.00                                 5935.50                                 11572.90                                10089.75                                775.00                                  8569.25                                 985.20                                  2027.50
Fabrice Cloutier                                                                                     766.50                                  2183.00                                 2491.00                                 2733.60                                 532.80                                  9297.00                                 0.00                                    507.00                                  4474.00                                 5250.50                                 6646.00                                 12381.70
Farzana Habibi                                                                                       2951.10                                 5132.80                                 3612.00                                 5739.00                                 4698.50                                 18758.25                                9025.05                                 8893.00                                 12694.00                                0.00                                    11653.60                                6774.00
Francisca Laureano                                                                                   1858.00                                 5848.00                                 8286.00                                 8219.00                                 7489.60                                 942.00                                  5184.65                                 2513.00                                 4234.20                                 18873.75                                877.00                                  13977.00
Gabriela Hernandes                                                                                   4162.00                                 4226.00                                 1723.00                                 2199.20                                 6316.90                                 7459.40                                 0.00                                    2834.75                                 4087.00                                 6199.80                                 27642.00                                7097.60
Ganesh Majumdar                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Gasper Havzija                                                                                       0.00                                    5411.50                                 2861.20                                 11277.80                                7009.00                                 1450.50                                 13532.00                                1262.50                                 10563.75                                9617.95                                 20319.00                                2049.00
Gayatri Gajula                                                                                       3862.50                                 9473.30                                 11886.50                                13211.00                                7228.35                                 1980.00                                 2100.60                                 1817.30                                 7530.00                                 2272.00                                 9566.25                                 6223.80
Geza Roman                                                                                           888.00                                  3572.00                                 1141.50                                 6663.00                                 7758.30                                 3276.90                                 9518.00                                 2985.25                                 1804.80                                 6575.60                                 0.00                                    3617.00
Gopalgobinda Sikdar                                                                                  292.00                                  0.00                                    11799.00                                6993.80                                 4034.80                                 16528.80                                4696.00                                 370.00                                  2655.00                                 17215.00                                6011.00                                 0.00
Gunnar Lohmus                                                                                        16060.70                                334.00                                  14341.25                                10497.90                                5018.50                                 14875.50                                5960.30                                 0.00                                    2491.60                                 3403.00                                 879.00                                  7012.00
Hai Banh                                                                                             1892.80                                 0.00                                    1102.35                                 11721.00                                3022.00                                 5961.00                                 2980.20                                 8982.00                                 15925.30                                8966.70                                 5588.00                                 19941.80
Hana Hlouskova                                                                                       3534.75                                 3650.00                                 4731.00                                 596.60                                  7633.25                                 1795.80                                 19365.80                                5404.00                                 6324.00                                 6686.00                                 17239.80                                6615.00
Hanita Nookala                                                                                       0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Harsha Huq                                                                                           13262.75                                0.00                                    448.00                                  3870.00                                 14107.40                                17673.60                                2401.25                                 10965.00                                626.60                                  4195.35                                 128.00                                  7153.00
Hee-Young Suh                                                                                        6476.00                                 3947.60                                 8650.00                                 6212.00                                 11284.00                                7393.40                                 2247.00                                 11147.60                                0.00                                    2021.40                                 2263.00                                 2083.00
Hoc Tran                                                                                             24030.20                                1772.00                                 2280.00                                 430.00                                  6923.50                                 8984.00                                 5379.50                                 1662.60                                 16978.00                                6032.00                                 4734.00                                 5730.00
Hue Ton                                                                                              7036.40                                 228.80                                  0.00                                    3692.25                                 19085.00                                5146.00                                 11826.25                                4550.80                                 7491.15                                 5033.00                                 1860.00                                 1115.00
Ian Olofsson                                                                                         0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Ida Celma                                                                                            0.00                                    5616.00                                 19029.90                                6419.00                                 52.00                                   6805.00                                 11791.00                                6555.30                                 0.00                                    23434.10                                1035.25                                 1663.00
Ingrida Zeltina                                                                                      3398.50                                 923.20                                  23651.00                                8091.60                                 3604.60                                 12722.50                                8551.25                                 992.70                                  6848.00                                 4928.00                                 11916.40                                6782.00
In-Su Bae                                                                                            33087.00                                13371.00                                7429.75                                 1120.00                                 10711.40                                7185.00                                 12885.70                                1053.15                                 25992.00                                7735.40                                 9782.00                                 1787.80
Ioana Florea                                                                                         2755.00                                 4230.50                                 17841.35                                2838.20                                 6163.00                                 6910.00                                 4945.50                                 33975.00                                29698.00                                5216.00                                 0.00                                    3605.20
Irma Berzina                                                                                         0.00                                    1854.00                                 8263.50                                 3487.80                                 15508.10                                1136.50                                 3366.00                                 8385.80                                 9887.00                                 0.00                                    0.00                                    6250.20
Isa Hulsegge                                                                                         6124.00                                 0.00                                    0.00                                    2684.00                                 18287.50                                0.00                                    820.00                                  14463.40                                18705.60                                5716.40                                 9399.00                                 2189.00
Isidora Morales                                                                                      600.00                                  10878.60                                4193.00                                 3758.95                                 6237.00                                 724.00                                  8840.20                                 6547.70                                 1625.25                                 13854.00                                5525.00                                 15428.00
Isidora Urias                                                                                        4268.00                                 7202.50                                 11874.50                                306.00                                  725.60                                  3412.00                                 2768.40                                 3207.00                                 4213.60                                 5445.00                                 15557.00                                7628.00
Ivan Sepulveda                                                                                       11218.60                                6977.00                                 846.00                                  8385.00                                 5029.00                                 8805.60                                 2529.00                                 5067.80                                 3601.20                                 0.00                                    0.00                                    2838.00
Ivana Hadrabova                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Jack Walker                                                                                          13911.35                                1245.00                                 14525.00                                0.00                                    16287.00                                19731.80                                2043.20                                 6419.00                                 1679.00                                 20709.00                                5072.00                                 2048.00
Jackson Kolios                                                                                       12266.20                                5897.40                                 305.00                                  11671.00                                5368.20                                 1277.60                                 4023.50                                 4284.00                                 14422.75                                4096.00                                 3465.20                                 1989.00
Jai Lamble                                                                                           8923.00                                 9228.60                                 7136.00                                 5284.00                                 2150.00                                 1080.00                                 4279.20                                 2977.25                                 6749.30                                 3428.60                                 8981.60                                 8695.00
Jakub Lukes                                                                                          3755.00                                 10564.00                                1642.00                                 15771.00                                3448.90                                 423.00                                  12586.40                                0.00                                    12588.60                                3941.00                                 12710.00                                4426.00
Jana Fialova                                                                                         10684.00                                358.00                                  1486.50                                 3678.80                                 19448.70                                26485.95                                4108.00                                 3559.00                                 6745.00                                 12684.00                                6710.40                                 13248.00
Jaroslav Fisar                                                                                       0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Jasna Cerkez                                                                                         6408.80                                 10834.50                                5291.00                                 952.00                                  13981.60                                9700.00                                 9715.95                                 20374.45                                8762.90                                 21750.10                                3888.00                                 7036.30
Jay Bhuiyan                                                                                          308.00                                  4081.75                                 4682.00                                 2778.00                                 1210.00                                 17201.00                                859.60                                  3639.50                                 656.00                                  3099.00                                 1678.00                                 3800.25
Jayanta Thakur                                                                                       737.00                                  1246.50                                 2447.20                                 1837.80                                 14002.40                                10432.05                                6604.40                                 5759.50                                 3181.50                                 596.00                                  10959.45                                4525.00
Jibek Juniskyzy                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Jitka Necesana                                                                                       7380.00                                 6137.00                                 14551.00                                4483.40                                 4313.00                                 10470.80                                1642.50                                 2147.00                                 5605.00                                 3918.00                                 6405.60                                 5012.80
Joel Carrillo                                                                                        2610.50                                 5124.60                                 1850.40                                 0.00                                    11544.00                                5481.25                                 4934.00                                 3791.50                                 0.00                                    4392.00                                 10128.00                                13740.00
Johanna Hoornstra                                                                                    84.00                                   0.00                                    4789.60                                 3070.00                                 2064.50                                 4176.00                                 3755.80                                 1130.00                                 10152.50                                1427.00                                 3285.20                                 7618.60
Juan Morse                                                                                           7708.50                                 2947.60                                 1240.85                                 10178.80                                3399.75                                 4864.80                                 2165.00                                 2416.20                                 3280.65                                 32650.25                                14279.25                                0.00
Kalyani Benjaree                                                                                     0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Kamala Nishad                                                                                        7992.55                                 7145.25                                 1996.00                                 0.00                                    10951.00                                3673.10                                 9621.40                                 3842.00                                 1005.00                                 0.00                                    3388.00                                 6616.20
Kamila Michnova                                                                                      9698.00                                 14950.80                                5051.00                                 13590.20                                3379.95                                 12965.00                                18188.00                                6140.00                                 6069.20                                 1296.00                                 7237.30                                 1495.00
Katerina Hadrabova                                                                                   14872.50                                1989.60                                 1979.00                                 8886.00                                 13651.10                                679.20                                  16886.20                                5824.80                                 2802.60                                 0.00                                    5194.00                                 3561.00
Kertu Sokk                                                                                           5298.75                                 254.00                                  2140.00                                 1255.00                                 5893.00                                 22803.70                                701.00                                  0.00                                    7851.05                                 0.00                                    4802.75                                 13212.00
Knut Svensson                                                                                        10305.80                                2937.00                                 13555.00                                4163.00                                 5673.00                                 1626.00                                 2804.80                                 8422.40                                 4916.30                                 3551.40                                 6473.60                                 1966.75
Krishnam Allu                                                                                        192.00                                  352.00                                  6037.00                                 3387.60                                 13365.60                                15228.00                                12282.15                                0.00                                    4506.20                                 28481.80                                10746.90                                2001.00
Kristi Part                                                                                          745.20                                  1393.20                                 18780.20                                9038.80                                 3192.00                                 2454.15                                 1890.00                                 6488.60                                 8316.80                                 25328.00                                2610.00                                 11880.65
Kristiina Ivanov                                                                                     5515.00                                 0.00                                    7584.00                                 4416.00                                 4157.50                                 15418.50                                10907.25                                5062.00                                 1078.00                                 10765.00                                2580.40                                 1193.00
Kumar Kamei                                                                                          9007.70                                 2426.40                                 2390.80                                 6844.25                                 5626.70                                 4952.00                                 3316.30                                 1722.00                                 20463.45                                4700.00                                 5829.00                                 287.80
Kumar Naicker                                                                                        9144.00                                 9060.00                                 4974.90                                 16022.20                                6678.00                                 1042.00                                 1393.00                                 219.00                                  4471.20                                 3592.60                                 3145.00                                 2316.00
Kwanjai Saowaluk                                                                                     400.35                                  0.00                                    0.00                                    978.85                                  5545.20                                 35811.00                                1674.00                                 8862.50                                 5604.00                                 14522.70                                554.75                                  892.60
Lakshmi Benipal                                                                                      4512.10                                 12835.70                                873.00                                  8154.00                                 7740.00                                 4972.80                                 5811.70                                 13157.00                                9474.00                                 5725.60                                 10154.00                                4354.00
Lana Goransson                                                                                       6750.00                                 7602.00                                 890.00                                  517.80                                  18985.00                                2612.00                                 6719.70                                 5311.50                                 16089.40                                8407.20                                 2777.60                                 2264.00
Laszlo Gardenier                                                                                     13886.70                                1177.60                                 10024.00                                5359.45                                 27470.00                                4188.00                                 0.00                                    15517.80                                2450.00                                 3076.00                                 0.00                                    5664.25
Laura Sykorova                                                                                       3605.00                                 4833.00                                 2288.00                                 10936.10                                4982.00                                 5166.40                                 6010.80                                 13785.00                                26442.00                                68.90                                   6201.20                                 0.00
Leila Carvalho                                                                                       8036.20                                 2110.00                                 675.30                                  1009.00                                 25994.80                                9445.65                                 7016.50                                 1352.00                                 8590.80                                 2126.00                                 6941.80                                 5317.00
Leonardo Folliero                                                                                    0.00                                    2653.40                                 10148.45                                8005.50                                 1580.00                                 10007.50                                5479.00                                 4426.00                                 1472.00                                 7902.00                                 4410.00                                 4209.00
Leyla Asef zade                                                                                      5283.00                                 4597.00                                 794.00                                  0.00                                    5361.75                                 8431.40                                 10501.90                                8563.60                                 3865.00                                 4186.30                                 671.00                                  3347.40
Leyla Siavashi                                                                                       6830.80                                 7004.00                                 8898.00                                 15265.20                                4798.80                                 0.00                                    15752.10                                8113.00                                 12107.30                                14271.80                                18052.80                                6394.00
Libuse Kuchtova                                                                                      3289.75                                 1576.00                                 4896.20                                 5449.00                                 4485.40                                 17512.50                                11162.00                                0.00                                    4902.00                                 5372.15                                 4465.60                                 2288.00
Libuse Valentova                                                                                     2979.75                                 3414.80                                 11739.20                                4170.00                                 3911.00                                 29217.00                                12746.50                                48.00                                   1987.00                                 3276.95                                 19294.80                                1563.00
