CustomerName                                                                                         Sales_2015Q1                            Sales_2015Q2                            Sales_2015Q3                            Sales_2015Q4
Tailspin Toys (King Cove, AK)                                                                        27219.00                                9743.00                                 13281.20                                26797.75
Tailspin Toys (Knifley, KY)                                                                          11620.85                                15687.20                                6450.00                                 15443.05
Tailspin Toys (Koontzville, WA)                                                                      14202.40                                33601.50                                18716.20                                32296.90
Tailspin Toys (Kwethluk, AK)                                                                         19894.45                                7998.90                                 12038.80                                12225.20
Tailspin Toys (La Cueva, NM)                                                                         10370.00                                17852.00                                23289.90                                30109.80
Tailspin Toys (Lake Erie Beach, NY)                                                                  29011.00                                22397.30                                6578.40                                 1726.00
Tailspin Toys (Lake Hughes, CA)                                                                      33305.95                                30682.00                                10081.50                                31250.25
Tailspin Toys (Lake Stevens, WA)                                                                     22366.50                                8990.30                                 32567.10                                27971.30
Tailspin Toys (Lakemore, OH)                                                                         7905.60                                 27881.65                                14317.20                                17716.80
Tailspin Toys (Larose, LA)                                                                           13451.10                                8935.65                                 44907.00                                37483.45
Tailspin Toys (Lavon, TX)                                                                            22168.95                                11469.40                                17015.60                                13476.00
Tailspin Toys (Lemeta, AK)                                                                           29451.60                                11959.45                                33943.60                                20615.00
Tailspin Toys (Lesslie, SC)                                                                          24625.00                                21733.10                                27948.10                                39703.30
Tailspin Toys (Long Meadow, MD)                                                                      20251.10                                35383.35                                45874.70                                25758.60
Tailspin Toys (Lytle Creek, CA)                                                                      31819.00                                6535.75                                 21596.10                                22358.25
Tailspin Toys (Madaket, MA)                                                                          39043.50                                22654.30                                7114.10                                 12273.70
Tailspin Toys (Madrone, NM)                                                                          22173.25                                8836.40                                 20662.20                                14837.75
Tailspin Toys (Magalia, CA)                                                                          9310.20                                 6757.00                                 35603.80                                12744.80
Tailspin Toys (Malott, WA)                                                                           17846.65                                37982.50                                10332.40                                16963.60
Tailspin Toys (Manahawkin, NJ)                                                                       30543.45                                30575.00                                9632.00                                 8297.40
Tailspin Toys (Manchester Center, VT)                                                                20319.30                                23601.75                                28941.25                                15304.40
Tailspin Toys (Maple Shade, NJ)                                                                      5150.30                                 24992.80                                6875.70                                 40292.80
Tailspin Toys (Mappsburg, VA)                                                                        8186.20                                 12174.00                                12425.80                                25992.75
Tailspin Toys (Marcell, MN)                                                                          28251.80                                11568.25                                21186.40                                18371.75
Tailspin Toys (Maypearl, TX)                                                                         12581.40                                15966.40                                31482.90                                9405.45
Tailspin Toys (McCamey, TX)                                                                          23994.50                                40359.95                                22307.90                                25487.40
Tailspin Toys (McClave, CO)                                                                          35457.20                                38488.35                                20156.80                                12672.05
Tailspin Toys (Medicine Lodge, KS)                                                                   21086.40                                38949.30                                9507.60                                 12017.55
Tailspin Toys (Mineral Hills, MI)                                                                    12732.70                                803.00                                  21582.25                                32400.20
Tailspin Toys (Minidoka, ID)                                                                         12047.00                                66053.00                                42720.90                                12622.50
Tailspin Toys (Mount Montgomery, NV)                                                                 4661.00                                 20500.90                                23034.60                                22011.85
Tailspin Toys (Muir, MI)                                                                             8098.80                                 16318.40                                23005.20                                7427.00
Tailspin Toys (Nanafalia, AL)                                                                        46431.00                                15202.80                                20225.60                                2238.60
Tailspin Toys (Naples Park, FL)                                                                      17278.85                                18357.00                                18594.20                                31710.30
Tailspin Toys (Navassa, NC)                                                                          18608.90                                22852.25                                33298.80                                17560.40
Tailspin Toys (Netcong, NJ)                                                                          37084.40                                10644.00                                22283.95                                25590.80
Tailspin Toys (New Baden, IL)                                                                        30680.60                                31691.15                                23462.80                                1514.00
Tailspin Toys (New Lexington, OH)                                                                    18623.00                                28518.00                                24272.20                                32248.80
Tailspin Toys (North Cowden, TX)                                                                     34904.30                                18648.20                                11145.50                                24002.50
Tailspin Toys (North Crows Nest, IN)                                                                 26462.35                                29181.60                                11643.25                                25732.00
Tailspin Toys (North Ridge, NY)                                                                      39582.00                                10385.10                                21160.10                                27467.75
Tailspin Toys (Olivette, MO)                                                                         30333.45                                34119.55                                14043.70                                7354.50
Tailspin Toys (Optimo, NM)                                                                           19715.90                                8060.40                                 21103.00                                23149.00
Tailspin Toys (Orchard Hill, GA)                                                                     24432.70                                37157.10                                21946.35                                12937.80
Tailspin Toys (Oriole Beach, FL)                                                                     3628.00                                 8740.00                                 23460.40                                6459.40
Tailspin Toys (Orrtanna, PA)                                                                         6300.80                                 37863.85                                31038.35                                11022.80
Tailspin Toys (Ortley Beach, NJ)                                                                     12865.30                                15423.40                                22920.75                                28083.20
Tailspin Toys (Page City, KS)                                                                        24040.00                                6330.10                                 25007.40                                10312.00
Tailspin Toys (Panaca, NV)                                                                           63186.00                                21512.40                                18272.30                                16939.05
Tailspin Toys (Peeples Valley, AZ)                                                                   22334.00                                19889.20                                21639.30                                13787.20
Tailspin Toys (Placer, OR)                                                                           40208.75                                21568.35                                41305.45                                17697.00
Tailspin Toys (Point Roberts, WA)                                                                    23738.65                                15901.00                                7629.00                                 45009.80
Tailspin Toys (Premont, TX)                                                                          17253.20                                33471.70                                41396.90                                6739.20
Tailspin Toys (Rafael Capó, PR)                                                                      11054.05                                14975.40                                21890.85                                13616.00
Tailspin Toys (Railroad, PA)                                                                         18220.80                                17123.35                                17060.55                                9175.70
Tailspin Toys (Rockwall, TX)                                                                         26232.50                                11072.35                                6924.40                                 33057.95
Tailspin Toys (Roe Park, NY)                                                                         26255.90                                20444.10                                25213.50                                29622.55
Tailspin Toys (Rothsville, PA)                                                                       5608.80                                 17410.90                                23578.20                                10959.80
Tailspin Toys (Royal City, WA)                                                                       8000.00                                 18341.60                                28539.40                                17806.50
Tailspin Toys (Saint Louis Park, MN)                                                                 17274.75                                15384.95                                17555.55                                19112.00
Tailspin Toys (Saks, AL)                                                                             25260.90                                17389.40                                23691.10                                7607.40
Tailspin Toys (Sallyards, KS)                                                                        13227.00                                22257.75                                31218.65                                19735.85
Tailspin Toys (San Acacia, NM)                                                                       29270.40                                14624.80                                18453.90                                3660.30
Tailspin Toys (Sans Souci, SC)                                                                       21865.85                                25721.20                                38725.00                                14968.05
Tailspin Toys (Sauquoit, NY)                                                                         22760.00                                33894.50                                23599.60                                13110.00
Tailspin Toys (Scofield, UT)                                                                         12561.40                                20583.80                                17835.70                                13655.85
Tailspin Toys (Seagraves, TX)                                                                        22905.00                                27447.80                                11231.00                                19681.40
Tailspin Toys (Sekiu, WA)                                                                            17906.00                                26536.35                                11410.70                                34822.65
Tailspin Toys (Sentinel Butte, ND)                                                                   26874.80                                26706.25                                20421.80                                20940.00
Tailspin Toys (Severna Park, MD)                                                                     20485.40                                18549.00                                40566.90                                8377.50
Tailspin Toys (Sinclair, WY)                                                                         23783.50                                24944.70                                23857.40                                23857.80
Tailspin Toys (Skyway, WA)                                                                           35333.35                                2190.40                                 15825.30                                22708.60
Tailspin Toys (Slanesville, WV)                                                                      21880.60                                15528.90                                21992.00                                19453.05
Tailspin Toys (South Euclid, OH)                                                                     31092.00                                16062.00                                27680.70                                11344.00
Tailspin Toys (South La Paloma, TX)                                                                  11130.75                                15025.05                                43923.50                                2198.40
Tailspin Toys (South Laguna, CA)                                                                     12157.00                                28423.20                                27592.90                                28354.40
Tailspin Toys (Stallion Springs, CA)                                                                 23060.50                                5453.70                                 23039.90                                13451.00
Tailspin Toys (Statenville, GA)                                                                      43112.40                                31988.80                                12402.00                                25344.45
Tailspin Toys (Stonefort, IL)                                                                        15603.60                                9989.00                                 13022.00                                8208.00
Tailspin Toys (Sun River, MT)                                                                        40678.10                                28822.70                                13347.90                                19558.40
Tailspin Toys (Sylvanite, MT)                                                                        16571.35                                19445.10                                31755.60                                17677.00
Tailspin Toys (Tavares, FL)                                                                          18692.00                                18525.60                                30241.95                                5724.20
Tailspin Toys (Terre du Lac, MO)                                                                     33225.00                                19885.00                                14500.05                                17984.80
Tailspin Toys (Teutopolis, IL)                                                                       15682.50                                14103.45                                12447.45                                22392.95
Tailspin Toys (Tierra Verde, FL)                                                                     26816.20                                2427.80                                 28342.75                                20735.40
Tailspin Toys (Tolna, ND)                                                                            17630.25                                34540.00                                22483.00                                21026.00
Tailspin Toys (Tomnolen, MS)                                                                         29738.00                                28736.00                                2767.00                                 9789.00
Tailspin Toys (Tooele, UT)                                                                           18316.05                                23533.80                                30721.45                                16521.90
Tailspin Toys (Topstone, CT)                                                                         16582.00                                20831.60                                22065.75                                4336.20
Tailspin Toys (Trentwood, WA)                                                                        20934.00                                14731.50                                23161.55                                22773.90
Tailspin Toys (Tresckow, PA)                                                                         2193.00                                 33038.75                                20089.25                                6944.00
Tailspin Toys (Tumacacori, AZ)                                                                       25593.25                                12497.60                                12368.00                                7707.50
Tailspin Toys (Tunnelhill, PA)                                                                       11788.00                                17862.10                                6596.00                                 20330.60
Tailspin Toys (Upper Preston, WA)                                                                    37935.40                                23336.25                                52864.10                                8159.40
Tailspin Toys (Valdese, NC)                                                                          17906.00                                34979.35                                21802.45                                35635.05
Tailspin Toys (Vassalboro, ME)                                                                       47997.45                                25538.00                                21579.20                                31815.50
Tailspin Toys (Victory Gardens, NJ)                                                                  7107.25                                 14446.05                                33603.10                                17837.20
Tailspin Toys (Vidrine, LA)                                                                          27233.30                                24362.15                                22612.70                                15399.65
Tailspin Toys (Wallagrass, ME)                                                                       23197.60                                17820.95                                7175.75                                 8321.60
Tailspin Toys (Wappingers Falls, NY)                                                                 20375.45                                24443.00                                21374.25                                12979.00
Tailspin Toys (Ward Ridge, FL)                                                                       12212.00                                5689.00                                 38636.40                                24710.80
Tailspin Toys (Wilkes-Barre, PA)                                                                     18326.40                                29460.80                                29963.40                                2336.80
Tailspin Toys (Wimbledon, ND)                                                                        24890.90                                40928.20                                30326.80                                12181.95
Tailspin Toys (Windsor Locks, CT)                                                                    11351.60                                19802.00                                20724.00                                23038.00
Tailspin Toys (Yewed, OK)                                                                            32352.20                                15545.70                                32980.75                                7237.00
Taj Syme                                                                                             9975.25                                 35169.60                                26897.70                                33172.10
Taneli Riutta                                                                                        8519.95                                 10145.75                                19549.25                                17973.00
Tomo Vidovic                                                                                         22081.45                                7871.60                                 18288.95                                22554.00
Tuulikki Linna                                                                                       12059.10                                12107.00                                28519.60                                26608.00
Urve Kasesalu                                                                                        15846.80                                8885.80                                 16362.75                                13636.75
Valentin Tirlea                                                                                      36224.65                                18649.40                                18956.00                                21490.00
Valter Viiding                                                                                       13481.60                                14210.50                                14168.60                                10614.40
Vedrana Kovacevic                                                                                    16616.50                                47444.60                                11415.40                                23625.00
Veronika Necesana                                                                                    28959.15                                18259.75                                21981.35                                33495.25
Victoria Lacusta                                                                                     7236.90                                 36649.20                                8340.00                                 11696.20
Violetta KlanCisar                                                                                   30647.20                                15794.00                                20963.15                                7455.60
Vladimir Henzl                                                                                       21119.40                                7016.75                                 45179.10                                15184.90
Volkan senturk                                                                                       32196.50                                16481.20                                14007.25                                12733.00
Wingtip Toys (Accomac, VA)                                                                           5582.15                                 24669.50                                10609.40                                20615.70
Wingtip Toys (Akhiok, AK)                                                                            11259.40                                22595.00                                7317.20                                 20089.40
Wingtip Toys (Alcester, SD)                                                                          6050.25                                 15285.50                                29243.70                                11041.40
Wingtip Toys (Amado, AZ)                                                                             21953.00                                27558.15                                23413.50                                10888.20
Wingtip Toys (Asher, OK)                                                                             23730.80                                27299.75                                32350.50                                24682.20
Wingtip Toys (Athol Springs, NY)                                                                     5598.40                                 13913.00                                28293.00                                6790.00
Wingtip Toys (Baldwin City, KS)                                                                      26911.00                                17257.20                                27475.25                                5176.00
Wingtip Toys (Balko, OK)                                                                             4100.75                                 28122.95                                7002.50                                 19651.20
Wingtip Toys (Beals, ME)                                                                             16844.90                                11613.15                                22511.80                                7951.20
Wingtip Toys (Beekmantown, NY)                                                                       46966.20                                13667.80                                11907.20                                34247.40
Wingtip Toys (Bell Acres, PA)                                                                        8729.00                                 13584.65                                23986.50                                34511.40
Wingtip Toys (Bergen Park, CO)                                                                       15257.70                                5668.50                                 36631.50                                16692.30
Wingtip Toys (Bernstein, TX)                                                                         28458.80                                9910.00                                 19291.20                                50431.65
Wingtip Toys (Berville, MI)                                                                          20882.60                                22738.20                                18151.75                                17332.80
Wingtip Toys (Bethel Acres, OK)                                                                      4932.10                                 3989.45                                 9233.00                                 5275.00
Wingtip Toys (Birds, IL)                                                                             2866.00                                 17215.20                                10970.50                                14550.80
Wingtip Toys (Black Lick, PA)                                                                        30433.90                                35733.20                                26488.65                                11850.00
Wingtip Toys (Boalsburg, PA)                                                                         14846.30                                18150.35                                14210.25                                18856.00
Wingtip Toys (Bokeelia, FL)                                                                          9068.30                                 38365.85                                49927.80                                42935.10
Wingtip Toys (Bonner Springs, KS)                                                                    23423.90                                17321.00                                35867.80                                36807.20
Wingtip Toys (Bourbonnais, IL)                                                                       46363.00                                28978.10                                7787.20                                 15018.00
Wingtip Toys (Bourneville, OH)                                                                       26349.65                                8590.45                                 21982.55                                32104.80
Wingtip Toys (Boynton, OK)                                                                           18231.40                                24016.00                                9570.60                                 38912.00
Wingtip Toys (Bozeman Hot Springs, MT)                                                               31224.10                                41015.50                                36028.70                                12134.85
Wingtip Toys (Branson West, MO)                                                                      26693.25                                45806.70                                27215.70                                17742.60
Wingtip Toys (Broomtown, AL)                                                                         24192.15                                28185.75                                10250.20                                16180.00
Wingtip Toys (Bruceton Mills, WV)                                                                    6460.20                                 25257.40                                16633.10                                30201.70
Wingtip Toys (Cache, OK)                                                                             30914.00                                21317.40                                19285.50                                21803.95
Wingtip Toys (Cadogan, PA)                                                                           11947.80                                51221.50                                24592.95                                29683.60
Wingtip Toys (Cale, AR)                                                                              23469.15                                5791.20                                 28153.60                                17840.00
Wingtip Toys (Cape Neddick, ME)                                                                      14477.40                                5320.60                                 10835.80                                1587.30
Wingtip Toys (Caro, MI)                                                                              9991.30                                 14735.60                                9435.75                                 13913.00
Wingtip Toys (Caton, NY)                                                                             9632.00                                 13084.85                                20420.00                                21883.70
Wingtip Toys (Cavendish, VT)                                                                         10215.15                                26849.85                                31339.50                                34477.25
Wingtip Toys (Chaseley, ND)                                                                          8204.20                                 20216.50                                21085.80                                13168.00
Wingtip Toys (Cherryplain, NY)                                                                       14961.60                                13425.40                                11313.55                                6143.00
Wingtip Toys (Chetek, WI)                                                                            26326.00                                5845.75                                 19159.90                                30012.05
Wingtip Toys (Claycomo, MO)                                                                          21795.30                                49116.25                                28599.15                                10200.40
Wingtip Toys (Cloquet, MN)                                                                           18302.25                                29439.80                                16936.60                                29556.75
Wingtip Toys (Coin, IA)                                                                              21483.50                                14415.45                                20688.65                                29317.40
Wingtip Toys (Coker, AL)                                                                             28222.00                                11130.80                                22434.00                                30291.00
Wingtip Toys (Compass Lake, FL)                                                                      9049.20                                 17215.55                                11386.50                                11997.20
Wingtip Toys (Connoquenessing, PA)                                                                   13728.60                                50124.90                                23764.05                                29938.40
Wingtip Toys (Corcovado, PR)                                                                         29094.20                                25973.80                                26983.25                                11193.35
Wingtip Toys (Cos Cob, CT)                                                                           22808.40                                14205.70                                6962.00                                 32649.30
Wingtip Toys (Cowlington, OK)                                                                        8937.50                                 27938.00                                12005.95                                20783.40
Wingtip Toys (Crossroads, NM)                                                                        14462.80                                4789.05                                 6471.60                                 12309.00
Wingtip Toys (Cuyamungue, NM)                                                                        20547.80                                22947.60                                34257.50                                14336.95
Wingtip Toys (Cylon, WI)                                                                             22636.65                                37583.20                                28086.50                                41464.60
Wingtip Toys (Dacono, CO)                                                                            7555.75                                 29026.90                                15320.00                                35152.55
Wingtip Toys (Deeson, MS)                                                                            18368.40                                28640.35                                1754.00                                 13086.75
Wingtip Toys (Del Valle, TX)                                                                         25961.15                                15347.20                                14525.80                                9011.40
Wingtip Toys (Delray, WV)                                                                            20208.60                                16074.85                                36708.25                                44341.60
Wingtip Toys (Dickerson, MD)                                                                         4682.00                                 13459.00                                25275.40                                17297.80
Wingtip Toys (Dickworsham, TX)                                                                       15464.30                                9502.25                                 12905.45                                21106.75
Wingtip Toys (Downingtown, PA)                                                                       6747.20                                 15584.20                                17681.50                                29710.60
Wingtip Toys (Dunkerton, IA)                                                                         19822.15                                26947.10                                15595.10                                47563.35
Wingtip Toys (East Fultonham, OH)                                                                    1746.00                                 20530.00                                25558.45                                23005.00
Wingtip Toys (East Mountain, TX)                                                                     24416.80                                6136.00                                 31780.10                                7537.00
Wingtip Toys (Edmund, WI)                                                                            10057.35                                14781.60                                5633.75                                 24663.35
Wingtip Toys (Elverson, PA)                                                                          26992.15                                24454.10                                12630.80                                10504.00
Wingtip Toys (Federalsburg, MD)                                                                      20055.30                                10159.00                                18350.80                                31517.15
Wingtip Toys (Ferney, SD)                                                                            13590.80                                27239.85                                24424.00                                42066.70
Wingtip Toys (Flomaton, AL)                                                                          15688.00                                24447.50                                13565.80                                9190.75
Wingtip Toys (Floriston, CA)                                                                         16007.80                                10695.60                                15821.20                                34615.05
Wingtip Toys (Frenchburg, KY)                                                                        10402.50                                48947.90                                12005.65                                11835.05
Wingtip Toys (Gargatha, VA)                                                                          12901.50                                7511.60                                 14002.95                                35959.60
Wingtip Toys (Gilford, NH)                                                                           28911.15                                18684.40                                32742.50                                13374.00
Wingtip Toys (Glancy, MS)                                                                            15618.20                                7041.05                                 7793.00                                 31106.25
Wingtip Toys (Glen Ullin, ND)                                                                        40061.00                                25589.85                                15317.60                                28079.00
Wingtip Toys (Goodings Grove, IL)                                                                    7157.35                                 15282.50                                13754.00                                8655.50
Wingtip Toys (Grabill, IN)                                                                           50343.80                                26317.20                                7071.55                                 38481.65
Wingtip Toys (Griswoldville, GA)                                                                     14581.60                                46264.30                                18532.00                                23095.50
Wingtip Toys (Harkers Island, NC)                                                                    4610.90                                 16764.10                                13881.00                                56687.60
Wingtip Toys (Haycock, AK)                                                                           33296.75                                18960.75                                26618.70                                5207.40
Wingtip Toys (Haydenville, OH)                                                                       45245.45                                22841.30                                16618.00                                19194.05
Wingtip Toys (Head Office)                                                                           24165.70                                5708.60                                 22711.20                                28838.10
Wingtip Toys (Heartwell, NE)                                                                         7028.60                                 31321.60                                20526.60                                4239.00
Wingtip Toys (Helotes, TX)                                                                           9503.00                                 37995.40                                6985.00                                 18936.70
Wingtip Toys (Herlong, CA)                                                                           5239.75                                 11579.25                                26783.20                                4377.00
Wingtip Toys (Highland Home, AL)                                                                     15237.20                                27516.40                                24679.65                                6430.45
Wingtip Toys (Hollandsburg, IN)                                                                      8700.20                                 24578.70                                21532.00                                17415.40
Wingtip Toys (Homer City, PA)                                                                        24728.00                                16029.10                                32084.75                                15276.40
Wingtip Toys (Huntingburg, IN)                                                                       36623.70                                28078.55                                4594.40                                 23930.55
Wingtip Toys (Idaho City, ID)                                                                        38213.20                                10418.70                                43389.40                                8721.65
Wingtip Toys (Indian Creek, IL)                                                                      13161.95                                32322.35                                34214.20                                11346.00
Wingtip Toys (Isabela, PR)                                                                           18948.50                                28808.75                                20050.50                                25425.05
Wingtip Toys (Islip Terrace, NY)                                                                     10250.70                                10397.20                                24202.30                                19958.10
Wingtip Toys (Jamison, IA)                                                                           41294.25                                19396.40                                24711.90                                37374.85
Wingtip Toys (Jeromesville, OH)                                                                      5530.20                                 3459.20                                 26210.90                                15424.45
Wingtip Toys (Johnetta, KY)                                                                          14805.80                                41213.55                                15123.50                                17691.50
Wingtip Toys (Kapa'a, HI)                                                                            32495.80                                34407.70                                15071.00                                29529.55
Wingtip Toys (Karthaus, PA)                                                                          25450.70                                15668.55                                18459.50                                19400.80
Wingtip Toys (Keosauqua, IA)                                                                         22469.00                                19437.50                                17526.00                                7379.00
Wingtip Toys (Key Biscayne, FL)                                                                      43501.05                                32851.40                                10900.00                                36275.35
Wingtip Toys (Knights Landing, CA)                                                                   20063.70                                52986.00                                18140.40                                35411.65
Wingtip Toys (Lake Davis, CA)                                                                        24302.20                                21119.00                                27465.00                                22431.20
Wingtip Toys (Lake Ronkonkoma, NY)                                                                   24289.60                                32781.95                                34286.60                                4688.80
Wingtip Toys (Leathersville, GA)                                                                     40807.60                                10345.80                                16872.10                                15911.65
Wingtip Toys (Lexington Heights, MI)                                                                 27741.80                                15918.80                                6160.80                                 11987.00
Wingtip Toys (Liberty Grove, MD)                                                                     14981.50                                26143.40                                12202.00                                13544.25
Wingtip Toys (Licking, MO)                                                                           43821.95                                27938.25                                9499.00                                 49462.40
Wingtip Toys (Lilbourn, MO)                                                                          24076.45                                30638.90                                21836.40                                31272.30
Wingtip Toys (Lime Lake, NY)                                                                         10822.60                                27137.75                                18925.15                                43324.10
Wingtip Toys (Lost River, ID)                                                                        51048.85                                5762.80                                 17404.80                                31577.00
Wingtip Toys (Lostine, OR)                                                                           31417.25                                4301.90                                 10380.65                                14975.60
Wingtip Toys (Lowellville, OH)                                                                       5752.00                                 41325.95                                19567.90                                5478.00
Wingtip Toys (Lucasville, OH)                                                                        17007.60                                11394.20                                23150.40                                9517.85
Wingtip Toys (Lynne, FL)                                                                             5876.00                                 23319.70                                34600.40                                27344.00
Wingtip Toys (Lytle, TX)                                                                             26830.50                                29304.95                                26128.95                                7602.00
Wingtip Toys (Mahaffey, PA)                                                                          13651.95                                21331.25                                18085.95                                32224.80
Wingtip Toys (Marfa, TX)                                                                             16530.60                                28477.60                                26368.90                                16747.50
Wingtip Toys (Marin City, CA)                                                                        19897.40                                13675.75                                7425.35                                 4555.50
Wingtip Toys (Marion Junction, AL)                                                                   21876.15                                17928.60                                11666.55                                14764.60
Wingtip Toys (Mauldin, SC)                                                                           20276.85                                28372.20                                38465.40                                15946.10
Wingtip Toys (Mayhill, NM)                                                                           24031.30                                16835.20                                12349.00                                19156.10
Wingtip Toys (McAdenville, NC)                                                                       10500.10                                10206.00                                12649.80                                22480.45
Wingtip Toys (Mendoza, TX)                                                                           44502.30                                16512.50                                18176.90                                14974.00
Wingtip Toys (Mickleton, NJ)                                                                         33407.25                                22533.25                                29187.00                                18955.70
Wingtip Toys (Mier, IN)                                                                              21950.00                                30481.35                                40061.80                                22390.50
Wingtip Toys (Miesville, MN)                                                                         5281.90                                 13808.70                                9568.25                                 6190.40
Wingtip Toys (Molalla, OR)                                                                           17833.85                                4971.00                                 5580.40                                 44816.10
Wingtip Toys (Montoya, NM)                                                                           60852.00                                32460.75                                24202.80                                25109.40
Wingtip Toys (Mooringsport, LA)                                                                      20571.85                                26870.75                                932.40                                  15710.65
Wingtip Toys (Morita, TX)                                                                            12129.00                                15772.60                                29142.25                                16988.00
Wingtip Toys (Morrison Bluff, AR)                                                                    53005.95                                40326.55                                13808.00                                16333.90
Wingtip Toys (Morton Grove, IL)                                                                      12189.25                                5306.00                                 25412.10                                15179.15
Wingtip Toys (Mount Summit, IN)                                                                      16140.20                                9496.75                                 25323.40                                21437.20
Wingtip Toys (Munich, ND)                                                                            4332.00                                 23527.70                                5239.30                                 2609.00
Wingtip Toys (Naches, WA)                                                                            6369.20                                 16990.00                                48820.50                                10552.40
Wingtip Toys (Necedah, WI)                                                                           32614.80                                22838.80                                31430.80                                11826.65
Wingtip Toys (New Laguna, NM)                                                                        15292.25                                6331.90                                 19923.10                                11752.80
Wingtip Toys (Nichols Hills, OK)                                                                     15345.35                                45577.00                                14481.80                                22735.80
Wingtip Toys (North Beach Haven, NJ)                                                                 19559.40                                13328.80                                26350.40                                23290.20
Wingtip Toys (North Manitou, MI)                                                                     33410.15                                11409.00                                19393.30                                11004.80
Wingtip Toys (Nuangola, PA)                                                                          12102.20                                13229.50                                27791.90                                25529.00
Wingtip Toys (Oak Point, TX)                                                                         32971.10                                15215.60                                8971.40                                 11449.00
Wingtip Toys (Obetz, OH)                                                                             25261.50                                25463.90                                12101.60                                23205.60
Wingtip Toys (Obion, TN)                                                                             18576.60                                25227.80                                17309.80                                20292.00
Wingtip Toys (Omer, MI)                                                                              14267.80                                6471.15                                 31865.70                                35424.85
Wingtip Toys (Oologah, OK)                                                                           7718.60                                 16350.55                                13645.00                                17993.90
Wingtip Toys (Orick, CA)                                                                             13673.00                                12945.50                                21221.80                                26233.60
Wingtip Toys (Ovilla, TX)                                                                            5764.70                                 24468.55                                10299.25                                12614.30
Wingtip Toys (Palmas del Mar, PR)                                                                    25477.40                                9152.50                                 14458.80                                9457.60
Wingtip Toys (Paw Paw Lake, MI)                                                                      8858.40                                 50407.95                                18721.50                                8221.55
Wingtip Toys (Pawlet, VT)                                                                            14523.50                                25802.35                                19075.85                                8299.60
Wingtip Toys (Penns Creek, PA)                                                                       6712.00                                 12743.85                                13621.50                                32647.85
Wingtip Toys (Philip, SD)                                                                            42520.55                                21988.35                                14756.70                                5513.00
Wingtip Toys (Pikeview, CO)                                                                          7270.60                                 19242.45                                40392.00                                34858.90
Wingtip Toys (Plaquemine, LA)                                                                        16256.50                                41917.40                                22254.90                                25174.80
Wingtip Toys (Plata, TX)                                                                             13717.30                                6475.00                                 22474.55                                24250.30
Wingtip Toys (Plum Branch, SC)                                                                       4072.00                                 22694.70                                49337.95                                3164.25
Wingtip Toys (Port Hueneme, CA)                                                                      21150.85                                34697.25                                24792.10                                24768.45
Wingtip Toys (Portales, NM)                                                                          9829.15                                 5487.50                                 4178.90                                 11097.05
Wingtip Toys (Queen Valley, AZ)                                                                      20905.30                                5896.00                                 42912.45                                18731.75
Wingtip Toys (Raton, NM)                                                                             26151.85                                11080.00                                18071.70                                24767.40
Wingtip Toys (Rich Creek, VA)                                                                        19200.00                                40758.50                                12604.80                                18831.15
Wingtip Toys (Ridgemark, CA)                                                                         27300.20                                6552.00                                 18719.75                                29090.40
Wingtip Toys (Robertsdale, AL)                                                                       22711.10                                15980.80                                13594.35                                20007.80
Wingtip Toys (Rockwall, TX)                                                                          14077.00                                12252.20                                13911.95                                8189.60
Wingtip Toys (Rosa Sánchez, PR)                                                                      33755.00                                39714.90                                15679.20                                15812.10
Wingtip Toys (Rose Tree, PA)                                                                         7397.00                                 27792.40                                23764.00                                7113.50
Wingtip Toys (Ruthsburg, MD)                                                                         9807.95                                 65478.50                                22323.90                                15696.20
Wingtip Toys (Saint Landry, LA)                                                                      22313.60                                12866.25                                13507.45                                11479.50
Wingtip Toys (Salt Wells, NV)                                                                        8542.95                                 23290.75                                33712.05                                28807.20
Wingtip Toys (San Jacinto, CA)                                                                       22342.05                                27066.40                                11678.60                                14704.00
Wingtip Toys (Sarversville, PA)                                                                      7297.20                                 37254.35                                39146.00                                24435.80
Wingtip Toys (Sayner, WI)                                                                            9611.15                                 33688.05                                15663.05                                41499.60
Wingtip Toys (Schererville, IN)                                                                      45336.25                                39057.10                                10418.00                                12800.55
Wingtip Toys (Shay, PA)                                                                              6355.25                                 11318.40                                32376.85                                31467.15
Wingtip Toys (Silver Plume, CO)                                                                      19153.15                                29150.75                                8303.20                                 26121.70
Wingtip Toys (Smoot, WY)                                                                             7730.00                                 24095.00                                11746.60                                21321.80
Wingtip Toys (Stanardsville, VA)                                                                     12264.50                                4194.80                                 2692.00                                 18923.00
Wingtip Toys (Stoneboro, PA)                                                                         5061.80                                 36494.40                                56453.05                                27953.30
Wingtip Toys (Straughn, IN)                                                                          16610.05                                16086.60                                32303.20                                13633.40
Wingtip Toys (Sunburg, MN)                                                                           14283.40                                23783.80                                19118.25                                24715.40
Wingtip Toys (Taft Heights, CA)                                                                      2012.80                                 20901.00                                15158.80                                47951.30
Wingtip Toys (Tea, SD)                                                                               30848.00                                37150.10                                15301.20                                22053.50
Wingtip Toys (Teutopolis, IL)                                                                        33322.00                                29739.05                                17923.00                                23432.80
Wingtip Toys (Tilleda, WI)                                                                           18521.20                                24543.65                                31198.00                                37747.40
Wingtip Toys (Towaco, NJ)                                                                            13251.00                                22556.60                                16098.00                                13899.00
Wingtip Toys (Triadelphia, WV)                                                                       16637.05                                26553.00                                16574.00                                26915.80
Wingtip Toys (Trout Run, PA)                                                                         37256.90                                30206.65                                14886.50                                19047.45
